checkpoint,epoch,selection_reason,bias_file,bias_D,bias_A,bias_S,raw_f1,calibrated_f1,auroc,checkpoint_sha256
best_auroc.pt,8,best_auroc,checkpoints/best_auroc.bias.json,1.400000000000004,1.7000000000000046,1.400000000000004,0.06943911551828826,0.42368999794643386,0.6681365422121427,c56e5bedb6c61e311dcc2e3a1d5fd6e61f350267797adfdcb3cc004a561b63d2
best_calibrated_f1.pt,9,best_calibrated_f1,checkpoints/best_calibrated_f1.bias.json,0.10000000000000275,0.6000000000000032,0.30000000000000293,0.37829549418472896,0.4275555820020973,0.6668061705330696,bb6de174c9342aa5eab189973092f96edde5f54b393007f785d721ceff52aa4a
best_raw_f1.pt,16,best_raw_f1,checkpoints/best_raw_f1.bias.json,1.3000000000000043,1.8000000000000043,0.10000000000000275,0.38163789244766017,0.4189014185034288,0.6567971850921265,89f778ef8d1555aec3651c7861a0ee7a22b0d2068b46cfab1a18b33823472355
best_robust.pt,9,best_robust,checkpoints/best_robust.bias.json,0.10000000000000275,0.6000000000000032,0.30000000000000293,0.37829549418472896,0.4275555820020973,0.6668061705330696,270eafb9e84744a28b50fd593dc61dbaa28996b24f280a3a5fa24ebb6a499447
last.pt,17,last,checkpoints/last.bias.json,0.9000000000000035,1.600000000000004,1.600000000000004,0.36974553827149775,0.4046512131459785,0.6345834250451131,1e3f59016274ddd673d4d94405f9d9c93ae0dc71d49234f9b16408a378b8579d
