checkpoint_name,epoch,raw_mean_f1,macro_auroc,safe_submit_f1,safe_submit_mode,safe_submit_shrink,full_calibrated_mean_f1,reference_f1_raw,recommended_default_submission
best_raw_f1.pt,11,0.36728102472783325,0.6610484524907929,,,,0.39369641631828184,0.36728102472783325,False
best_auc.pt,3,0.1541371158392435,0.681897751992716,,,,0.4073488412030562,0.1541371158392435,False
best_safe_submit.pt,7,0.3570101096623932,0.6732486277658092,0.39010288024131484,shrink0.5,0.5,0.4090965480278295,0.3570101096623932,True
