checkpoint,epoch,selection_reason,bias_file,bias_D,bias_A,bias_S,raw_f1,calibrated_f1,auroc,checkpoint_sha256
best_auroc.pt,8,best_auroc,checkpoints/best_auroc.bias.json,0.400000000000003,0.20000000000000284,0.7000000000000033,0.40467444752839626,0.41416047602771605,0.690527733179889,655061f315e24751819616f36b5ea4e87e0e03c2b8361637097a5e4af805d7c0
best_calibrated_f1.pt,9,best_calibrated_f1,checkpoints/best_calibrated_f1.bias.json,0.8000000000000034,1.2000000000000037,0.30000000000000293,0.40120934866372043,0.4148839038697227,0.690458052391644,e7d1d77918cd902ce4dacb090a9f23ba3f27a9441e2300a278360a7e47fedd2a
best_raw_f1.pt,8,best_raw_f1,checkpoints/best_raw_f1.bias.json,0.400000000000003,0.20000000000000284,0.7000000000000033,0.40467444752839626,0.41416047602771605,0.690527733179889,2816e0c666866b8ff61cca2aab4b252d7ce1f34370543f34449b322335bd7c6c
best_robust.pt,13,best_robust,checkpoints/best_robust.bias.json,2.6645352591003757e-15,-0.09999999999999742,0.10000000000000275,0.4043792656424466,0.414140847009554,0.6885574221172422,d8654d57f0d6e372d9aa3f9b62d3d9f03cc92dac6b443d01c96f64993394a9c0
last.pt,17,last,checkpoints/last.bias.json,0.7000000000000033,0.7000000000000033,0.8000000000000034,0.36670902861211235,0.41195499051701007,0.6879185551547885,d529b0ea850258eaed87e78d1b5b7cc84f9a4cc999c3168424ed9a1d4f9f7794
