checkpoint_name,epoch,raw_mean_f1,macro_auroc,safe_submit_f1,safe_submit_mode,safe_submit_shrink,full_calibrated_mean_f1,reference_f1_raw,recommended_default_submission
best_raw_f1.pt,9,0.4018427887270124,0.681977588962772,,,,0.4160662114961067,0.4018427887270124,False
best_auc.pt,9,0.4018427887270124,0.681977588962772,,,,0.4160662114961067,0.4018427887270124,False
best_safe_submit.pt,9,0.4018427887270124,0.681977588962772,0.40455717435999894,shrink0.5,0.5,0.4160662114961067,0.4018427887270124,True
