name,model,calib,class,best_thr_mean,best_thr_std,best_thr_p05,best_thr_p25,best_thr_p50,best_thr_p75,best_thr_p95,best_f1_mean,best_f1_std
baseline_val_raw,baseline,raw,D,0.27519999999999994,0.04984285304835588,0.175,0.22499999999999998,0.295,0.295,0.3499999999999999,0.4830951289553629,0.030240559648721115
baseline_val_raw,baseline,raw,A,0.25939,0.02019227327469594,0.24,0.24999999999999994,0.25499999999999995,0.27499999999999997,0.2852499999999997,0.5385672782197973,0.025656452972523162
baseline_val_raw,baseline,raw,S,0.21939999999999998,0.03822943891819497,0.15900000000000003,0.19999999999999996,0.20999999999999996,0.245,0.29,0.3592469016334961,0.03443445216494937
baseline_val_calibrated,baseline,calibrated,D,0.48047499999999993,0.0691270524107603,0.3449999999999999,0.4149999999999999,0.5049999999999999,0.5199999999999999,0.57,0.4832412349158204,0.03164618290281237
baseline_val_calibrated,baseline,calibrated,A,0.5125149999999999,0.029566023997149155,0.48499999999999993,0.49999999999999994,0.5099999999999999,0.5349999999999999,0.5449999999999999,0.5378316431307201,0.02716887265654766
baseline_val_calibrated,baseline,calibrated,S,0.5373999999999999,0.056319534799215115,0.43999999999999995,0.5099999999999999,0.5299999999999999,0.57,0.625,0.3593023191207318,0.03348948188340298
dynamic_val_raw,dynamic,raw,D,0.546535,0.022691821764679897,0.5349999999999999,0.5399999999999999,0.5449999999999999,0.5549999999999999,0.5599999999999999,0.5006475163364991,0.03408953230392708
dynamic_val_raw,dynamic,raw,A,0.31323499999999993,0.11238175908482656,0.16499999999999998,0.21499999999999997,0.33499999999999996,0.35999999999999993,0.4912499999999988,0.5166050638668642,0.025387815932961275
dynamic_val_raw,dynamic,raw,S,0.45454500000000003,0.02039651869805237,0.44499999999999995,0.4549999999999999,0.4549999999999999,0.4549999999999999,0.4799999999999999,0.39042524676794826,0.03697307562488209
dynamic_val_calibrated,dynamic,calibrated,D,0.49759999999999993,0.013685393673548443,0.48499999999999993,0.48999999999999994,0.49499999999999994,0.5049999999999999,0.5099999999999999,0.4989492553795362,0.03487014692370261
dynamic_val_calibrated,dynamic,calibrated,A,0.4538299999999999,0.13073840713424653,0.26499999999999996,0.33499999999999996,0.48499999999999993,0.5099999999999999,0.6602499999999997,0.5186672951651371,0.02381919472863483
dynamic_val_calibrated,dynamic,calibrated,S,0.5055699999999999,0.01658237317153368,0.49499999999999994,0.5049999999999999,0.5049999999999999,0.5049999999999999,0.5299999999999999,0.39076660693822113,0.03875707431877993
