checkpoint,epoch,selection_reason,bias_file,bias_D,bias_A,bias_S,raw_f1,calibrated_f1,auroc,checkpoint_sha256
best_auroc.pt,13,best_auroc,checkpoints/best_auroc.bias.json,0.6000000000000032,0.8000000000000034,0.8000000000000034,0.38692087146139403,0.4575678553654847,0.7200974521910357,fcfa122984f65b8e6badfc1fdee1b2557b3270edcb83816892c6b7b3c26ccc84
best_calibrated_f1.pt,13,best_calibrated_f1,checkpoints/best_calibrated_f1.bias.json,0.6000000000000032,0.8000000000000034,0.8000000000000034,0.38692087146139403,0.4575678553654847,0.7200974521910357,a4e63c65e2641055fc90a2e10065be5c943a51e55051cdd0d642c3c4e8dfa170
best_raw_f1.pt,9,best_raw_f1,checkpoints/best_raw_f1.bias.json,-0.09999999999999742,0.5000000000000031,2.6645352591003757e-15,0.4408496887526951,0.44466349915435205,0.7038297044955814,40c00a52efb75025da15072d643300c5522153ae696b52cbe7c95580987144f9
best_robust.pt,9,best_robust,checkpoints/best_robust.bias.json,-0.09999999999999742,0.5000000000000031,2.6645352591003757e-15,0.4408496887526951,0.44466349915435205,0.7038297044955814,f364013c91b1f4c994c8c892c80595b6e0bb932e2dae1a89b41ce7907d445dba
last.pt,21,last,checkpoints/last.bias.json,2.5000000000000053,1.900000000000004,2.2000000000000046,0.3137434441782268,0.4151134678474919,0.6639330465913472,348dd329a39168af31452c58ebd9918ea102ea573b74b83c4b88517a2ecb4fdc
