checkpoint,epoch,selection_reason,bias_file,bias_D,bias_A,bias_S,raw_f1,calibrated_f1,auroc,checkpoint_sha256
best_auroc.pt,4,best_auroc,checkpoints/best_auroc.bias.json,2.6645352591003757e-15,0.20000000000000284,0.7000000000000033,0.30088053740014525,0.4040850061386112,0.7144662815333952,3c0e764c84611daf7034f722fdc8a795c44954d19a625a6605ef680afdf05435
best_calibrated_f1.pt,6,best_calibrated_f1,checkpoints/best_calibrated_f1.bias.json,0.400000000000003,0.8000000000000034,0.8000000000000034,0.24704463051868955,0.41648523299787493,0.7122971964488386,25cd59b9360d8cb9d72071318b9a00c8e35a6a43a4e274c57ca6f7b0729710af
best_raw_f1.pt,3,best_raw_f1,checkpoints/best_raw_f1.bias.json,-0.1999999999999975,-0.09999999999999742,0.10000000000000275,0.40154984685355893,0.40410573106750164,0.7100243274154937,7cbbcaa5757e33bbe6cacb3624dd5da15386be81fed476426b63e9004c009ecf
best_robust.pt,3,best_robust,checkpoints/best_robust.bias.json,-0.1999999999999975,-0.09999999999999742,0.10000000000000275,0.40154984685355893,0.40410573106750164,0.7100243274154937,4a07a0640ae187b3aa093a63a9bc730af93481c79b115e6291aed17ada78099a
last.pt,14,last,checkpoints/last.bias.json,1.2000000000000037,1.0000000000000036,1.400000000000004,0.3299805973742724,0.4042141681894556,0.6968813194825995,ec069f1a4173f24e9e1afa6f93417f0e01545a7e6ddaad5d426bcc90e7da5234
