checkpoint_name,epoch,raw_mean_f1,macro_auroc,safe_submit_f1,safe_submit_mode,safe_submit_shrink,full_calibrated_mean_f1,reference_f1_raw,recommended_default_submission
best_raw_f1.pt,14,0.4268892798631035,0.7003134335261972,,,,0.43297404289002256,0.4268892798631035,False
best_auc.pt,11,0.4066578096813595,0.7173177473874484,,,,0.44502766401787924,0.4066578096813595,False
best_safe_submit.pt,11,0.4066578096813595,0.7173177473874484,0.4383897620625113,shrink0.5,0.5,0.44502766401787924,0.4066578096813595,True
