checkpoint,epoch,selection_reason,bias_file,bias_D,bias_A,bias_S,raw_f1,calibrated_f1,auroc,checkpoint_sha256
best_auroc.pt,4,best_auroc,checkpoints/best_auroc.bias.json,0.9000000000000035,0.20000000000000284,0.9000000000000035,0.17312965139052094,0.42597626455740256,0.6664188347038486,f455ef16575eb2830230bc5f7864022479493ad710582bd4f5d42bafc11b12a6
best_calibrated_f1.pt,4,best_calibrated_f1,checkpoints/best_calibrated_f1.bias.json,0.9000000000000035,0.20000000000000284,0.9000000000000035,0.17312965139052094,0.42597626455740256,0.6664188347038486,8b45407e4bf6992ef9110f855e924e69fb027eaac7ed384b7f1f95cfe1e5c6fc
best_raw_f1.pt,9,best_raw_f1,checkpoints/best_raw_f1.bias.json,-0.3999999999999977,-0.3999999999999977,-0.2999999999999976,0.40102693784320714,0.42539449797514317,0.6595067595818221,5ad3edc35d45d13048f3828618401160f29dccf9508c2b71309f363f4f912f8e
best_robust.pt,9,best_robust,checkpoints/best_robust.bias.json,-0.3999999999999977,-0.3999999999999977,-0.2999999999999976,0.40102693784320714,0.42539449797514317,0.6595067595818221,1272886e18fe5646c03d05b78c537384d8905d68aa8486bb7ce3cdacd910ac47
last.pt,12,last,checkpoints/last.bias.json,0.30000000000000293,1.600000000000004,0.6000000000000032,0.29701218600668716,0.4173702904515825,0.6548235117997715,278b8f505fb3857dfccc505b410ab7a9087bdcb47e4182fdd33184607e1d5ca0
